Elements,Times,Dates,Deweys,Titles
"California Gold discoveries",16:53:00,2014-11-04,979,"rush Americas fevered quest for fortune 1848 1853"
"San Francisco Earthquake and Fire Calif 1906",17:36:00,2014-11-04,363,"Mega disasters"
"Wolves Wood Buffalo National Park Alta and N W T",17:50:00,2014-11-04,599,"Cold warriors wolves and buffalo"
"American bison Wood Buffalo National Park Alta and N W T",17:50:00,2014-11-04,599,"Cold warriors wolves and buffalo"
"San Francisco Earthquake and Fire Calif 1906",10:20:00,2014-11-05,979,"San Francisco earthquake"
"Mallery Susan Fools Gold trilogy",13:58:00,2014-11-05,813,"Susan Mallerys Fools Gold cookbook a love story told through 150 recipes"
"Landscape gardening Water conservation",18:07:00,2014-11-05,635,"Rain gardens managing water sustainably in the garden and designed landscape"
"Indian wood carving Northwest Coast of North America",18:32:00,2014-11-05,709,"Out of the silence"
"Seaside architecture New York State Fire Island Island History 20th century",14:06:00,2014-11-06,720,"Fire Island modernist Horace Gifford and the architecture of seduction"
"Drinking water Contamination Health aspects Toms River Region",15:07:00,2014-11-06,363,"Toms River a story of science and salvation"
"Klondike River Valley Yukon Gold discoveries Juvenile literature",15:32:00,2014-11-06,971,"Call of the Klondike a true Gold Rush adventure"
"Klondike River Valley Yukon Gold discoveries",15:32:00,2014-11-06,971,"Call of the Klondike a true Gold Rush adventure"
"Indian wood carving Washington State",10:57:00,2014-11-07,704,"totem pole history the work of Lummi carver Joe Hillaire"
"San Francisco Earthquake and Fire Calif 1906",12:09:00,2014-11-07,363,"Mega disasters"
"New York N Y Fire Department",14:54:00,2014-11-07,973,"7 days in September"
"New York N Y Fire Department",12:52:00,2014-11-08,973,"7 days in September"
"Seaside resorts New York State Fire Island Pines History 20th century Pictorial works",14:10:00,2014-11-08,779,"Fire island pines polaroids 1975 1983"
"California Gold discoveries",15:25:00,2014-11-08,979,"rush Americas fevered quest for fortune 1848 1853"
"Bottled water industry",13:13:00,2014-11-09,338,Tapped
"California Gold discoveries",13:43:00,2014-11-09,973,"10 days that unexpectedly changed America"
"Wolves Wood Buffalo National Park Alta and N W T",11:31:00,2014-11-10,599,"Cold warriors wolves and buffalo"
"American bison Wood Buffalo National Park Alta and N W T",11:31:00,2014-11-10,599,"Cold warriors wolves and buffalo"
"Drinking water Contamination Health aspects North Carolina Camp Lejeune",12:21:00,2014-11-10,363,"Semper fi always faithful"
"Drinking water Contamination Health aspects Toms River Region",15:14:00,2014-11-10,363,"Toms River a story of science and salvation"
"Ellis Alice Ada Wood Biography",17:15:00,2014-11-10,618,"Seattle pioneer midwife Alice Ada Wood Ellis midwife nurse mother to all as told by her great granddaughter"
"Earth Wind Fire Musical group",17:42:00,2014-11-10,782,"Shining star braving the elements of earth wind fire"
"Hamilton Wood Type Printing Museum Two Rivers Wis",18:12:00,2014-11-10,338,Typeface
"Volunteer fire fighters Juvenile literature",18:40:00,2014-11-10,363,"Molly by golly the legend of Molly Williams Americas first female firefighter"
"Volunteer fire fighters",18:40:00,2014-11-10,363,"Molly by golly the legend of Molly Williams Americas first female firefighter"
"Triangle Shirtwaist Company Fire 1911",13:54:00,2014-11-12,974,"Triangle Shirtwaist Factory fire"
"Triangle Shirtwaist Company Fire 1911",13:54:00,2014-11-12,974,"Triangle the fire that changed America"
"Triangle Shirtwaist Company Fire 1911 Juvenile literature",13:54:00,2014-11-12,974,"Triangle Shirtwaist Factory fire its legacy of labor rights"
"Triangle Shirtwaist Company Fire 1911",13:54:00,2014-11-12,974,"Triangle Shirtwaist Factory fire its legacy of labor rights"
"Seaside architecture New York State Fire Island Island History 20th century",17:49:00,2014-11-12,720,"Fire Island modernist Horace Gifford and the architecture of seduction"
"Klondike River Valley Yukon Gold discoveries Juvenile literature",18:51:00,2014-11-12,971,"Call of the Klondike a true Gold Rush adventure"
"Klondike River Valley Yukon Gold discoveries",18:51:00,2014-11-12,971,"Call of the Klondike a true Gold Rush adventure"
"Hamilton Wood Type Printing Museum Two Rivers Wis",19:33:00,2014-11-12,338,Typeface
"Indian wood carving Washington State Juvenile literature",10:45:00,2014-11-13,979,"People of salmon and cedar"
"Indian wood carving Washington State",12:15:00,2014-11-13,704,"totem pole history the work of Lummi carver Joe Hillaire"
"New York N Y Fire Department",13:03:00,2014-11-13,973,"7 days in September"
"Earth Wind Fire Musical group",16:02:00,2014-11-13,782,"Shining star braving the elements of earth wind fire"
"Solar water heaters",16:52:00,2014-11-13,697,"Solar water heating a comprehensive guide to solar water and space heating systems"
"Solar water heaters Design and construction",16:52:00,2014-11-13,697,"Solar water heating a comprehensive guide to solar water and space heating systems"
"Drinking water Contamination Health aspects Toms River Region",18:17:00,2014-11-13,363,"Toms River a story of science and salvation"
"Oil wells Fires and fire prevention Kuwait",11:42:00,2014-11-14,622,"Lessons of darkness Fata morgana"
"West U S Gold discoveries History 19th century Juvenile literature",12:42:00,2014-11-14,978,"Gold rush and riches"
"California Gold discoveries History 19th century Juvenile literature",12:42:00,2014-11-14,978,"Gold rush and riches"
"California Gold discoveries",12:42:00,2014-11-14,978,"Gold rush and riches"
"California Gold discoveries Juvenile literature",12:42:00,2014-11-14,978,"Gold rush and riches"
"California Gold discoveries",13:22:00,2014-11-14,973,"10 days that unexpectedly changed America"
"California Gold discoveries Juvenile literature",16:17:00,2014-11-14,979,"What was the Gold Rush"
"California Gold discoveries",16:17:00,2014-11-14,979,"What was the Gold Rush"
"California Gold discoveries",10:39:00,2014-11-15,973,"10 days that unexpectedly changed America"
"San Francisco Earthquake and Fire Calif 1906",13:27:00,2014-11-15,363,"Mega disasters"
"Indian wood carving Northwest Coast of North America Juvenile literature",13:55:00,2014-11-15,745,"bentwood box an activity book for kids from ages 9 12 including adult teaching guides"
"Wolves Wood Buffalo National Park Alta and N W T",16:05:00,2014-11-15,599,"Cold warriors wolves and buffalo"
"American bison Wood Buffalo National Park Alta and N W T",16:05:00,2014-11-15,599,"Cold warriors wolves and buffalo"
"Oil industries Alberta Water supply",17:58:00,2014-11-15,628,H2Oil
"Oil pollution of water Alberta",17:58:00,2014-11-15,628,H2Oil
"Oil pollution of water Alberta Prevention",17:58:00,2014-11-15,628,H2Oil
"Campbell John Wood 1910 1971 Criticism and interpretation",13:17:00,2014-11-16,808,"mechanics of wonder the creation of the idea of science fiction"
"Campbell John W Jr John Wood 1910 1971 Criticism and interpretation",13:17:00,2014-11-16,808,"mechanics of wonder the creation of the idea of science fiction"
"High rise apartment buildings Fires and fire prevention",13:52:00,2014-11-16,628,"Fires in high rise buildings reprints from Fire journal and Fire technology"
"Tall buildings Fires and fire prevention",13:52:00,2014-11-16,628,"Fires in high rise buildings reprints from Fire journal and Fire technology"
"Indian wood carving Washington State Juvenile literature",14:39:00,2014-11-16,979,"People of salmon and cedar"
"Ellis Alice Ada Wood Biography",15:13:00,2014-11-16,618,"Seattle pioneer midwife Alice Ada Wood Ellis midwife nurse mother to all as told by her great granddaughter"
"Drinking water Contamination Health aspects Toms River Region",16:50:00,2014-11-16,363,"Toms River a story of science and salvation"
"San Francisco Earthquake and Fire Calif 1906",10:47:00,2014-11-17,363,"Mega disasters"
"Stoves Wood Design and construction",11:04:00,2014-11-17,697,"Building a wood fired oven for bread and pizza"
"California Gold discoveries",13:53:00,2014-11-17,979,"rush Americas fevered quest for fortune 1848 1853"
"Indian wood carving Washington State Juvenile literature",14:37:00,2014-11-17,979,"People of salmon and cedar"
"Hampton Court Richmond upon Thames London England Fire 1986",16:30:00,2014-11-17,730,"lost carving a journey to the heart of making"
"San Francisco Earthquake and Fire Calif 1906",12:11:00,2014-11-18,363,"Mega disasters"
"California Gold discoveries",17:33:00,2014-11-18,979,"rush Americas fevered quest for fortune 1848 1853"
"San Francisco Earthquake and Fire Calif 1906",17:42:00,2014-11-18,979,"San Francisco earthquake"
"Drinking water Contamination Health aspects Toms River Region",18:27:00,2014-11-18,363,"Toms River a story of science and salvation"
"Handel George Frideric 1685 1759 Water music Criticism and interpretation",19:23:00,2014-11-18,784,"My name is Handel the story of Handels Water music"
"SPORTS RECREATION Water Sports",12:36:00,2014-11-19,797,"Salt sweat tears the men who rowed the ocean"
"SPORTS RECREATION Water Sports",15:21:00,2014-11-19,797,"Salt sweat tears the men who rowed the ocean"
"Klondike River Valley Yukon Gold discoveries",16:27:00,2014-11-19,917,"Klondike the last great gold rush 1896 1899"
"Drinking water Contamination Health aspects North Carolina Camp Lejeune",10:27:00,2014-11-20,363,"Semper fi always faithful"
"Drinking water Contamination Health aspects North Carolina Camp Lejeune",12:17:00,2014-11-20,363,"Semper fi always faithful"
"Klondike River Valley Yukon Gold discoveries",12:27:00,2014-11-20,971,"Gold diggers striking it rich in the Klondike"
"Drinking water Contamination Haiti",12:41:00,2014-11-20,363,"La Source"
"Cerca la Source Haiti Water supply",12:41:00,2014-11-20,363,"La Source"
"Irrigation water Australia",16:44:00,2014-11-20,631,"Water for every farm Yeomans keyline plan"
"Triangle Shirtwaist Company Fire 1911",10:23:00,2014-11-21,974,"Triangle the fire that changed America"
"New York N Y Fire Department",12:58:00,2014-11-21,973,"7 days in September"
"Wolves Wood Buffalo National Park Alta and N W T",14:32:00,2014-11-21,599,"Cold warriors wolves and buffalo"
"American bison Wood Buffalo National Park Alta and N W T",14:32:00,2014-11-21,599,"Cold warriors wolves and buffalo"
"Handel George Frideric 1685 1759 Water music Criticism and interpretation",15:50:00,2014-11-21,784,"My name is Handel the story of Handels Water music"
"Triangle Shirtwaist Company Fire 1911",16:27:00,2014-11-21,974,"Triangle fire the tragedy that forever changed labor and industry"
"Hartford Circus Fire Hartford Conn 1944",16:58:00,2014-11-21,974,"circus fire"
"Wolves Wood Buffalo National Park Alta and N W T",17:37:00,2014-11-21,599,"Cold warriors wolves and buffalo"
"American bison Wood Buffalo National Park Alta and N W T",17:37:00,2014-11-21,599,"Cold warriors wolves and buffalo"
"San Francisco Earthquake and Fire Calif 1906",11:23:00,2014-11-22,979,"San Francisco earthquake"
"Valley of Fire State Park Nev Guidebooks",11:43:00,2014-11-22,917,"Best hikes near Las Vegas"
"California Gold discoveries Juvenile literature",13:37:00,2014-11-22,979,"What was the Gold Rush"
"California Gold discoveries",13:37:00,2014-11-22,979,"What was the Gold Rush"
"San Francisco Earthquake and Fire Calif 1906",14:48:00,2014-11-22,363,"Mega disasters"
"Hopi wood carving",16:01:00,2014-11-22,745,"Kachina dolls the art of Hopi carvers"
"San Francisco Earthquake and Fire Calif 1906",16:06:00,2014-11-22,979,"crack in the edge of the world America and the great California earthquake of 1906"
"Wolves Wood Buffalo National Park Alta and N W T",16:10:00,2014-11-22,599,"Cold warriors wolves and buffalo"
"American bison Wood Buffalo National Park Alta and N W T",16:10:00,2014-11-22,599,"Cold warriors wolves and buffalo"
"San Francisco Earthquake and Fire Calif 1906",16:38:00,2014-11-22,979,"San Francisco earthquake"
"San Francisco Earthquake and Fire Calif 1906",14:18:00,2014-11-23,979,"San Francisco earthquake"
"Hamilton Wood Type Printing Museum Two Rivers Wis",15:24:00,2014-11-23,338,Typeface
"California Gold discoveries Fiction",15:37:00,2014-11-23,863,"Hija de la fortuna"
"Seaside architecture New York State Fire Island Island History 20th century",16:38:00,2014-11-23,720,"Fire Island modernist Horace Gifford and the architecture of seduction"
"Indian wood carving Northwest Coast of North America",17:01:00,2014-11-23,731,"Carve your own totem pole"
"Wolves Wood Buffalo National Park Alta and N W T",10:59:00,2014-11-24,599,"Cold warriors wolves and buffalo"
"American bison Wood Buffalo National Park Alta and N W T",10:59:00,2014-11-24,599,"Cold warriors wolves and buffalo"
"Fresh water Juvenile literature",13:02:00,2014-11-24,551,"Hydrosphere freshwater systems and pollution"
"New York N Y Fire Dept",14:08:00,2014-11-24,282,"Saint of 9 11 the true story of Father Mychal Judge"
"New York N Y Fire Department",14:08:00,2014-11-24,282,"Saint of 9 11 the true story of Father Mychal Judge"
"New York N Y Fire Department",14:09:00,2014-11-24,973,"7 days in September"
"California Gold discoveries",14:43:00,2014-11-24,979,"rush Americas fevered quest for fortune 1848 1853"
"Kindle Fire Computer",15:45:00,2014-11-24,4,"Kindle Fire HD the missing manual"
"Hamilton Wood Type Printing Museum Two Rivers Wis",16:06:00,2014-11-24,338,Typeface
"New York N Y Fire Department",16:07:00,2014-11-24,973,"7 days in September"
"SPORTS RECREATION Water Sports",17:03:00,2014-11-24,797,"Salt sweat tears the men who rowed the ocean"
"California Gold discoveries",17:10:00,2014-11-24,641,"California Gold Rush cooking"
"California Gold discoveries History Juvenile literature",17:10:00,2014-11-24,641,"California Gold Rush cooking"
"California Gold discoveries Juvenile literature",17:10:00,2014-11-24,641,"California Gold Rush cooking"
"Indian wood carving Northwest Coast of North America",18:05:00,2014-11-24,730,"Northwest carving traditions"
"Denver Colo Water Department History",12:14:00,2014-11-25,363,"ditch in time the city the west and water"
"California Gold discoveries",12:21:00,2014-11-25,979,"rush Americas fevered quest for fortune 1848 1853"
"Landscape gardening Water conservation",17:48:00,2014-11-25,635,"Drip irrigation for every landscape and all climates helping your garden flourish while conserving water outwit droughts with expert guidance"
"San Francisco Earthquake and Fire Calif 1906",19:38:00,2014-11-25,979,"Saving San Francisco relief and recovery after the 1906 disaster"
"Mann Gulch Fire Mont 1949",12:48:00,2014-11-26,634,"Young men fire"
